id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock,manual_allowed
,Manchon PVC Ø 125 cm,true,,1.92,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 150 cm,true,,2.75,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 200 cm,true,,5.5,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 250 cm,true,,15.68,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 300 cm,true,,24.32,,,,,Manchon PVC,true,pce,,false
,MAPEBAND bande d'étanchéité 150/1,true,,5.9,,,,,Mapeband,true,m,,false
,MAPEBAND bande d'étanchéité 200/1,true,,7.07,,,,,Mapeband,true,m,,false
,Mapegrout rapid mortier fibre sac de 25 kg,true,,30.18,,,,,Liants / Mortiers,true,sac,,false
,Mapei keraflex gris sac de 25 kg,true,,19,,,,,Colle carrelages,true,sac,,false
,Marches d'escalier L parco 100/40/15 cm grise talochée,true,,51.2,,,,,Escalier,true,pce,,false
,"Marches d'escalier L parco 100/40/15 cm sablé, gris",true,,72.8,,,,,Escalier,true,pce,,false
,"Marmoran ISO  mortier KK70, sac de 30 kg",true,,56.4,,,,,Liants / Mortiers,true,sac,,false
,Masterflex-3000 larg. 20 cm,true,,8.52,,,,masterflex-3000.jpg,Étanchéité,true,m,,false
,Masterflow 928,true,,36.1,,,,masterflow928.jpg,Liants / Mortiers,true,sac,,false
,"Masterflow 980 mortier de scellement, sac de 25 kg",true,,36.1,,,,masterflow980.jpg,Liants / Mortiers,true,sac,,false
,Mortier,true,,11,,,,,Mortiers et bétons frais,true,br,,false
,Mousse de montage sika,true,,11.65,,,,,Divers,true,pce,,false
,"Multiline V100 drainlock cadre acier, l=100 cm",true,,68.8,,,,,Multiline,true,pce,,false
,"Multiline V100 grille caillebotis B125, l=100 cm",true,,42.4,,,,,Multiline,true,pce,,false
,Multiline V100 plaque frontale combi,true,,18.4,,,,,Multiline,true,pce,,false
,Multiline V100 plaque frontale sortie,true,,31.2,,,,,Multiline,true,pce,,false
,Paniers de supports H=13 cm,true,,2.59,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=15 cm,true,,2.59,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=17 cm,true,,2.91,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=18 cm,true,,2.85,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=20 cm,true,,2.64,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=22 cm,true,,4.2,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=30 cm,true,,4.28,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=40 cm,true,,5.72,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=8 cm,true,,2.36,,,,,Paniers de supports,true,pce,,false
,"Panneau de coffrage, 27mm, ",true,,18,,,,,Bois,true,m2,,false
,Panneau de socle en XPS jaune 125x60x14 cm,true,,32.2,,,,,Isolation,true,pce,,false
,Panneau ISOVER PBM 035 40 mm,true,,5.53,,,,isover-pbm-035.jpg,Isolation,true,pce,,false
,"Panneau ISOVER PBM 2 a. papier, 80 mm",true,,11.05,,,,,Isolation,true,pce,,false
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, anthracite",true,,33.8,,,,,Pavé,true,pce,,false
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, gris",true,,29.19,,,,,Pavé,true,pce,,false
,"Pavé en béton classic, ép. 6 cm, 20/10 cm, gris",true,,23.1,,,,,Pavé,true,pce,,false
